rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
177,6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0,10.44331991,2.743,1159.8,2.66,667,4947,4.516,0.802
178,6685526,K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,1,2.237489571,1.8119,315.8,1.41,1160,5265,4.58,0.81
179,6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.851520671,3.11058,33004,14.62,901,5532,4.53,0.806
180,6784235,K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,1,3.167893418,2.1814,781.2,2.62,1221,5895,4.503,0.94
181,6849310,K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,1,4.311780262,2.7251,1154,3.11,1038,5527,4.484,0.927
182,6849310,K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,1,20.0504494,4.556,840.9,2.69,622,5527,4.484,0.927
183,6849310,K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,1,9.76734503,1.6585,569.1,2.67,791,5527,4.484,0.927
184,6862328,K00865.01,,CANDIDATE,CANDIDATE,1,119.0207044,8.1405,7430.5,8.98,366,5453,4.342,1.062
185,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,0.987,190.3200468,15.284,1141.7,7.78,426,5626,3.907,2.057
186,6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.861159894,1.8832,1014.3,4.37,1355,6126,4.458,1.021
187,7366258,K00880.01,Kepler-82 b,CONFIRMED,CANDIDATE,1,26.44439337,3.9783,1843.5,3.91,562,5427,4.463,0.929
188,7366258,K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,0.983,51.53997972,6.3994,3644.3,5.51,450,5427,4.463,0.929
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,1,5.902245782,2.9003,702.3,2.43,926,5427,4.463,0.929
190,7366258,K00880.04,Kepler-82 d,CONFIRMED,CANDIDATE,1,2.382951591,1.8876,391.6,1.86,1253,5427,4.463,0.929
191,7373451,K00881.01,Kepler-712 b,CONFIRMED,CANDIDATE,1,21.02250608,4.1072,1772.5,3.07,521,5067,4.585,0.75
